location_name,floor,location_detail,total_amount,repair_count
慈雲山中心,2/F,管理處,1466.4,6
黃大仙中心南館,G/F,保安室,10897.51,6
TKO Spot商場,2/F,走廊(222至228號舖對出),2493.3,6
彩園廣場,R/F,冷氣控制室(天台),42007.06,6
彩園廣場,G/F,外圍(L20落貨區),2200.0,6
恆安商場,G/F,上落貨區 (近恆安商場L57),2200.0,6
彩明商場一期,2/F,男廁,5500.0,6
T Town商場北,G/F,出入口(D7D8街市正自動門),12690.0,6
沙角商場,2樓,近SH245走廊,3298.38,6
黃大仙中心南館,1/F,樓梯(ST3),3107.76,6
慈雲山中心,G/F,出入口(近SH 1-3),6750.0,6
彩園廣場,G/F,保安控制室 (落貨區),1989.4,6
T.O.P,2/F,暢通易達洗手間,116.07,6
TKO Gateway熟食檔,G/F,熟食檔上落貨區,70174.38,6
禾輋廣場D區,2/F,後巷 (惠康側),16084.0,6
TKO Spot商場,2/F,走廊(236至242號舖對出),2441.3,6
鯉魚門廣場,LG/F,垃圾房 (清潔用),3140.76,6
愛民廣場,G/F,升降機大堂,6426.0,6
愛民廣場,1/F,樓梯(ST17),14405.07,6
彩明商場二期,G/F,(商場層)男廁,4400.0,6
Po Lam Shopping Centre商場一期,G/F,中庭(近阿波羅位置),5788.9,6
黃大仙中心南館,UG/F,男洗手間其他設施,1955.1,6
鯉魚門廣場,G/F,出入口通道(近1號舖),6010.0,6
TKO Spot商場,G/F,走廊(6至11號舖對出),10274.23,6
秀茂坪商場,G/F,升降機L8及L9大堂,10740.0,6
TKO Gateway商場東翼,G/F,出入口(往幼稚園),1881.8,6
TKO Spot商場,4/F,冷氣控制室,45905.1,6
TKO Spot商場,4/F,冷水機,29787.93,6
Po Lam Shopping Centre商場二期,3/F,後走廊(IA至1D),5104.02,6
TKO Gateway商場東翼,1/F,走廊(東翼橋頭),31040.18,6
長發廣場,4/F,中庭,61940.0,5
啟田商場舊翼,4/F,通道(後走廊 - 往2號梯方向),11242.43,5
樂富廣場A區,3/F,後巷,3300.0,5
德田廣場,3/F,管理處及控制室,9053.54,5
德田街市,G/F,女廁洗手盆,6105.0,5
小西灣廣場,3/F,遊樂場,4935.1,5
TKO Spot商場,3/F,樓梯(ST13),1800.0,5
南昌薈商場,G/F,上落貨區,15088.42,5
南昌薈商場,1/F,"後巷(F125B,F128側)",3000.0,5
秀茂坪商場,G/F,垃圾房,17950.0,5
利康樓,3/F,女廁,8588.0,5
彩明商場二期,G/F,(商場層)升降機大堂(L4),850.0,5
小西灣廣場,G/F,上落貨區,2200.0,5
樂富廣場A區,4/F,冷氣控制室 / 機房(Plant B),91881.63,5
啟田商場新翼,G/F,電房(新翼Loading bay更亭旁),15237.16,5
鳳德商場,1/F,風櫃房1,2800.0,5
平田商場,G/F,水錶房,2125.5,5
啟田B停車場,1/F,繳費處,1719.42,5
T Town商場北,1/F,育嬰室,3350.0,5
愛民廣場,1/F,通道(F15-F17),11206.2,5
黃大仙中心南館,LG/F,污水泵房,10983.7,5
天瑞商場,R/F,小型足球場,2191.63,5
蝴蝶廣場,R/F,戶外範圍(籃球場區),10699.82,5
T Town商場北,G/F,上落貨區,16849.89,5
祥華商場,G/F,走廊,10204.79,5
天瑞商場,1/F,風櫃房,12488.77,5
黃大仙中心南館,UG/F,樓梯(ST12),2485.23,5
Po Lam Shopping Centre商場一期,G/F,女廁其他設施位置,2616.0,5
愛民廣場,G/F,保安控制室,1966.9,5
天盛商場,R/F,戶外花圃,4146.45,5
東頭邨商場,G/F,公共通道,10268.0,5
天盛街市,G/F,中庭(近正門),4180.0,5
黃大仙中心南館,UG/F,公共區域清潔大做,26632.52,5
愛東商場,G/F,卸貨區,20814.79,5
長發廣場,2/F,風櫃房2B (C4升降機對出),2053.13,5
T.O.P,3/F,顧客服務台,2364.13,5
大興商場1期,1/F,女廁 (惠康後門側),15895.1,5
長發廣場,2/F,走廊 (202號舖側),58964.42,5
朗屏商場,3/F,辦事處,87.74,5
T.O.P,G/F,出入口 (正門G01側),19313.91,5
富東廣場,G/F,上落貨區,15242.28,5
黃大仙中心南館,1/F,醫生邨108舖側,3793.94,5
天澤街市,G/F,保安控制室,19700.0,5
黃大仙中心南館,1/F,樓梯(ST7),5939.0,5
鯉魚門廣場,1/F,108-113號舖對出通道,1395.39,5
彩園A停車場,G/F,繳費處,8429.71,5
鯉魚門廣場,2/F,203-206號舖對出通道,2004.5,5
TQS辦公大樓1座,17樓,客LIFT堂,9944.03,5
何文田廣場,1/F,消防控制室,2267.38,5
祥華商場,3/F,中庭,21516.58,5
彩園廣場,3/F,女廁洗手盆 (商戶廁),3543.43,5
三聖商場,2/F,男廁,13784.0,5
天澤商場,3/F,304F號舖側消防喉轆,553.01,4
慈雲山中心,3/F,"出入口(往巴士總站, 近 SH321)",15395.59,4
頌安商場,G/F,中庭,29376.67,4
T Town商場南,G/F,消防控制室 (南北天橋底),2877.53,4
英明停車場,G/F,出入口閘機,9795.34,4
富泰商場,1/F,中庭,12967.85,4
朗屏商場,G/F,樓梯(近Shop No. 1),28090.0,4
三聖商場,R/F,天台,37765.13,4
三聖商場,G/F,總電掣房 (近權記),17248.0,4
鯉魚門廣場,1/F,126-129號舖對出通道,8853.35,4
海富商場,2/F,風櫃房,2296.61,4
鯉魚門廣場,1/F,119-121B號舖對出通道,1686.21,4
鯉魚門廣場,1/F,104-107號舖對出通道,9767.64,4
大元街市,G/F,走廊(418檔至428檔),22420.54,4
大元街市,G/F,冷氣控制室(泰德樓對出),43617.3,4
T.O.P,MTR/F,咸水泵房,10294.25,4
良景廣場L,3樓,梯(ST7),2100.0,4
大興商場2期,R/F,走廊,36147.96,4
富泰商場,G/F,戶外範圍,19200.64,4
赤柱廣場,3/F,卸貨區,4900.0,4
T Town商場南,G/F,出入口(D1D2自動門近SG01),22881.33,4
樂富Zone B停車場CPC,L/F,車位P25至P40,1049.25,4
富善商場,2/F,升降機大堂(L57),4596.02,4
彩園B停車場,G/F,出入口閘機,13200.0,4
天盛商場,G/F,戶外範圍 (管理處對出至近停車場A閘對出),7800.0,4
海富停車場有蓋車場,G/F,辦事處 (收費亭),1747.65,4
Po Lam商場,3/F,305 號舖位,1410.0,4
赤柱廣場,G/F,兒童遊樂設施,3712.37,4
Po Lam Shopping Centre商場一期,G/F,戶外設施(露天廣場),18750.78,4
赤柱廣場,G/F,育嬰室,9200.0,4
Po Lam Shopping Centre商場一期,4/F,升降機機房L38(C43),15575.07,4
愛民廣場,G/F,電錶房  (G-2),1221152.82,4
T Town商場北,1/F,公共走廊(大直路),6196.55,4
T Town商場南,1/F,風櫃房A號 (ST3),12769.4,4
天瑞內場停車場,1樓,繳費處,3978.8,4
逸東3號停車場,1/F,1號升降機大堂,16526.02,4
沙角商場,2樓,近SH219中庭,4323.08,4
天澤商場,R/F,樓梯(ST8),318.56,4
富東廣場,3/F,冷氣機房,102244.92,4
T Town商場南,2/F,電子顯示屏/商場指南 (近S221舗),2720.74,4
愛東商埸,G/F,外圍向愛善樓(西門),1350.0,4
東頭2邨A停車場CPA,G/F,出入口閘機,9956.19,4
T Town商場北,2/F,升降機大堂 (CCL3),26126.18,4
天瑞商場,R/F,水缸房,6098.82,4
蝴蝶廣場,R/F,水缸房,87505.6,4
大元商場舊翼,2/F,通道,1920.0,4
鳳德A停車場,G/F,車位L1至L6,2708.0,4
翠屏(南)邨,2/F,辦事處,61950.29,4
鯉魚門廣場,1/F,街市風櫃房 (1號樓梯落半層),3224.94,4
耀東商場,2樓,出入口,1350.0,4
和明停車場,G/F,繳費處,1989.4,4
興東商埸,2/F,物業辦公區域,1580.0,4
興東商場,1/F,水錶房105,18889.92,4
小西灣廣場,G/F,風櫃房,36094.41,4
小西灣廣場,G/F,水泵房 (G17),19838.79,4
環翠商場2期,2樓,所有公眾地方,22866.41,4
平田商場,G/F,G4舖外消防喉轆側通道,3680.0,4
鳳德B停車場,G/F,L3升降機,575.0,4
長發廣場,5/F,樓梯 (4號梯),725.34,4
彩明商場二期,G/F,(商場層)垃圾房2-1(大),1910.0,4
彩明商場二期,4/F,(花園)樓梯(ST5),1650.0,4
樂富廣場A區,UG1/F,走廊,2592.28,4
TKO Spot商場,4/F,消防泵房,2472.97,4
彩雲商場三期,2/F,傷健廁1號,3600.0,4
彩明商場二期,LG/F,(巴士站)升降機大堂(L7),2100.0,4
慈雲山中心,5/F,男廁(513-515舖側),8100.0,4
